repo_name,commit,subject,message,is_corrective,is_adaptive,is_perfective,is_refactor,corrective,adaptive,perfective,refactor,change,comment,justification,batch
apache/jmeter,caf0b4aac2ab7da5d7063c3ab94372b8eefe56a1,"Continued the re-layout of the View Results Tree visualizer.  Still needs a couple of tweaks, and support for displaying images needs to be re-added.  Should get to that in the next day or two.","Continued the re-layout of the View Results Tree visualizer.  Still needs a couple of tweaks, and support for displaying images needs to be re-added.  Should get to that in the next day or two.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/jmeter/trunk@323222 13f79535-47bb-0310-9956-ffa450edef68

Former-commit-id: e5d82dfd7d853905ad7e7ce51b10dcd4088af07e",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
eworm-de/claws-mail,1a89bbface73c247295d696d7b5ce43ca815d6d8,0.8.11claws114,"0.8.11claws114

* src/folder.c
        check if remove virtual really exists before
        calling the function
",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
scala/scala,1d90bcabca92c8e257fe8e4d55f970e2e224b7f8,- Reorganized the whole Makefile,"- Reorganized the whole Makefile

",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
ow2-proactive/scheduling,a6b7b41cc296868e2bc286da98e9ea8cf7d14132,modify the implementation of the Group.equals method,"modify the implementation of the Group.equals method


git-svn-id: 9146c88ff6d39b48099bf954d15d68f687b3fa69@1437 28e8926c-6b08-0410-baaa-805c5e19b8d6
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
ow2-proactive/scheduling,fbc0bff9c4120265a08a97283dbcf881075f5ee0,Cosmetic fixes,"Cosmetic fixes


git-svn-id: 9146c88ff6d39b48099bf954d15d68f687b3fa69@1352 28e8926c-6b08-0410-baaa-805c5e19b8d6
",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
stinsonga/emacs-mirror,f629b14cc120323e1225869cbaf9c950cef42b2e,Initial revision,"Initial revision
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
rathena/rathena,8bacbf79c052636ad6a4a90d15ad823fd79de8b4,Fixed: Not being able to change to Clown or Creator.,"Fixed: Not being able to change to Clown or Creator.

git-svn-id: 4563c7560ba9e24245f7bf824a5468224cfa5f15@61 54d463be-8e91-2dee-dedb-b68131a5f0ec
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
libMesh/libmesh,10c9bfd2c3d8eb8b1548becb47c4eee9d8593ce8,Updated the examples.,"Updated the examples.


git-svn-id: e88a1e38e13faf406e05cc89eca8dd613216f6c4@887 434f946d-2f3d-0410-ba4c-cb9f52fb0dbf
",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
unrealircd/unrealircd,e73cb3dac57c4832095554957e0d732048e5c3bb,Removed /doc/faq not needed included in new docset,"Removed /doc/faq not needed included in new docset
",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,random_batch_1
htcondor/htcondor,d539bef7c0f511c13e84701a6045b209185ba993,Added some code to prevent infinite loops in the case of circular scope.,"Added some code to prevent infinite loops in the case of circular scope.
",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
scop/bash-completion,6b5abdf0c601920da7adfcce82ef82303edc3a16,,"
- reworking of Postgresql completion by Guillaume Rousse <rousse@ccr.jussieu.fr>
",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,random_batch_1
google/llvm-propeller,9713b840cfe73c09c1fbf848c3dca689bdf36837,The check to see if an external function was marked internal was not reachable!,"The check to see if an external function was marked internal was not reachable!

llvm-svn: 2366
",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
stinsonga/emacs-mirror,d6b4b3cfcc7bfc5a4a3b24acf2ce7e0a49c08b5f,Make server-start safe against accidental restarts.,"Make server-start safe against accidental restarts.

* lisp/server.el (server-start): Ask before restarting if the old server
  still has clients.  Added feedback messages.


git-archimport-id: 6a009bcaac90060bfd81b04a308d5da0a17447a0@elte.hu--2004/emacs--multi-tty--0--patch-195
",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
facebook/mysql-5.6,a32bb3c0c40d1a5c7ace1291664152ecd6c3622a,Fix of broken 4.1 tree:  Initially my_time.c was added to sql/ link_sources target only. As it turns out this target is sometimes not called; instead of it make calls one hard-coded in top-level Makefile.am. Now adding linking of my_time.c to the top-level Makefile.am to (hopefully) cover all cases.,"Fix of broken 4.1 tree: 
Initially my_time.c was added to sql/ link_sources target only.
As it turns out this target is sometimes not called; instead of it
make calls one hard-coded in top-level Makefile.am.
Now adding linking of my_time.c to the top-level Makefile.am
to (hopefully) cover all cases.
",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
bywatersolutions/bws-package,2feeb123ce0aed55a6e12ca4dc9a32a060319fc1,Accepts subjects separated by | or \n,"Accepts subjects separated by | or \n
",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
geneweb/geneweb,e7d0b412c4239a6dd8f987b9b22850646ab6bc4e,-,"-

",FALSE,FALSE,FALSE,FALSE,,,,,,uncertain,no text,random_batch_1
sba1/simplemail,8b92b8fbc705422fbfea099c07cd7c290ff1c913,utfcreate_len() uses iso-latin-1 if converting from a unknown codeset. fixed small problem in composewindow.,"utfcreate_len() uses iso-latin-1 if converting from a unknown codeset.
fixed small problem in composewindow.
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
scipy/scipy,4bafb0d4c8448bd1fe5ffab0028e256ea9751d8c,Fixing sparse errors.,"Fixing sparse errors.
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
CORE-POS/IS4C,c44db43dc1d5dfb72a458e4a7bba977da46d80ce,Reduce reliance on strRemembered & msgrepeat in favor of passing URL parameters directly to pos2.php. This avoids tracing through code to find all the different places that might adjust a session variable,"Reduce reliance on strRemembered & msgrepeat in favor of
passing URL parameters directly to pos2.php. This avoids
tracing through code to find all the different places that
might adjust a session variable
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
ChimeraTK/DeviceAccess,a080bcecc2bc2c9f0f34fddf7a14295e28de4771,changed to smart pointer to try out example implementation with thread,"changed to smart pointer to try out example implementation with thread

git-svn-id: 72bef8959051d9ca261a4f2ba8f41ef27517c010@1866 5f601a5c-88b9-47f3-b851-818f6741d00d
",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,uncertain,,random_batch_1
Azure/azure-quickstart-templates,1065ba05c11278b92f665b0fb886ec28d86cb731,Changed the template base URI and removed JMeter backdoor to prepare for pull request,"Changed the template base URI and removed JMeter backdoor to prepare for pull request
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,random_batch_1
ElektraInitiative/libelektra,e727b707c5826ecd0a02ccbe1bb9154d10ee288f,kdb umount: add verbosity,"kdb umount: add verbosity
",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
terraform-providers/terraform-provider-aws,16bcb1efcbec6c6cd8071d177e55a49352c5a1a9,provider/aws: Run errcheck in tests (#8579),"provider/aws: Run errcheck in tests (#8579)

* provider/aws: Add errcheck to Makefile, error on unchecked errors

* more exceptions

* updates for errcheck to pass

* reformat and spilt out the ignore statements

* narrow down ignores

* fix typo, only ignore Close and Write, instead of close or write
",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,random_batch_1
vuejs/vuejs.org,23c9b273c72847437a5dc5a348767b9144104c68,edit Polymer comparison,"edit Polymer comparison
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
schemaorg/schemaorg,c1e2bba5c7cdf6bcd5276a1c10bfe00a38cb1c91,Removed leaky hyperlink,"Removed leaky hyperlink
",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
sklintyg/rehabstod,69b0bd9cc8604945817fe2118de22b720b6f7b7f,BUILDENV: Bumpade deploy.yml till första bygget av 1.1.0,"BUILDENV: Bumpade deploy.yml till första bygget av 1.1.0
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
popcodeorg/popcode,b8deb556cd10db97f0ab21d648c81b8184bf1fbd,Default to empty string when HTML not present in imported gist,"Default to empty string when HTML not present in imported gist

When importing from a gist, we should gracefully handle one or more
languages not having code present. This happens naturally when
retrieving CSS and JavaScript, because for those languages we take *all*
matching sections of the gist and join them together; thus the base case
is joining an empty array, generating an empty string. In the case of
HTML, however, it doesn’t make sense to concatenate multiple HTML
sections, because each presumably contains a full HTML document; so, we
just take the first. If no HTML document is present, this search yields
an undefined value. So, explicitly fall back to an empty string.
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
skipzone/Illumicone,af1cbd18cd13fe27d6af48cdfed6889dffc75cf9,simulator config file,"simulator config file

1st draft of json config for OpenPixelControl simulator: https://github.com/zestyping/openpixelcontrol",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
samvera/hyrax,99d0b238c6ce1681b279aeea6ffbd595187166bf,Addressing current_ability anonymous user,"Addressing current_ability anonymous user

For an anonymous user, CanCanCan's current_ability.current_user returns
a non-persisted user object. This was creating an error in the query.

I also made adjustments to the Agent logic as there was left-over logic
from copying from Sipity. The copy included options for expanding a
User into many Agent objects based on the User's group memebership.

Closes #1042
",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
pydanny/cookiecutter-django,f2aab6edc3ddbe3dd003041f39c0a28cce6f01b4,rename MIDDLEWARE_CLASSES to MIDDLEWARE,"rename MIDDLEWARE_CLASSES to MIDDLEWARE
",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,random_batch_1
sdl/Sdl-Community,aa79b81dcc11574a0b7e4b3dd0c0ee79ed636f82,Merge branch 'master' of https://github.com/sdl/Sdl-Community,"Merge branch 'master' of https://github.com/sdl/Sdl-Community
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
yamcs/yamcs,0b99b027c54044108f31373b536419f003eb0054,eliminated some blocking from archive replay requests,"eliminated some blocking from archive replay requests
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
samba-team/samba,e7a9b398c79cb77678de18f3fc448131e1d6eb25,added yet another rpcclient command: svcstart <service name> [arg0] [arg1] ...,"added yet another rpcclient command: svcstart <service name> [arg0] [arg1] ...

works with command-line completion on the service name (ohh yesss, this
is becoming my favourite bit of functionality-on-the-side hee hee :)

had to fix the svc_io_q_start_service() code which was missing the
ptr_argv[] array in between the array-size and the UNISTR2-array.
i.e it's actually an array of _pointers_ to unicode strings...
(This used to be commit 2903f22e7ed9306229035accfa757fd810645820)
",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
riscv/riscv-openocd,233ab439c7e31299324ef056fc8b21f048e1c93e,Include files required to rebuild the HTTP web pages in distribution.,"Include files required to rebuild the HTTP web pages in distribution.

git-svn-id: 9342d66d65669805328cff97dc80921f9b0842c0@1773 b42882b7-edfa-0310-969c-e2dbd0fdcd60
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
openstreetmap/openstreetmap-website,f183bd8ec8ad4ebae65135d8218b79cbf1c5c7d1,Some test improvements,"Some test improvements

",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
samba-team/samba,e85fb3d9c5f967809e69d5eb624af3d128394b69,install the 31.clamd script as 644 by default,"install the 31.clamd script as 644 by default

(This used to be ctdb commit e57c47b75fa501223c57040eac73392b42ae549d)
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
wch/r-source,67b7bd1ac3b408b2c41087563cc58db0e9101f0c,"fix PR#6425, add example of biplot for prcomp output","fix PR#6425, add example of biplot for prcomp output


git-svn-id: f298e5bd0fb7dd56202a0647512068a43d54496a@27968 00db46b3-68df-0310-9c12-caf00c1e9a41
",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
samba-team/samba,fb15b95bc5fe11e8ebbd4bfe5f29b4e454f3aee4,added a little bit of const magic to get rid of the data in librpc/gen_ndr/*.o (This used to be commit 866ef2edab91996964c8b43dbdd417f5908a00e1),"added a little bit of const magic to get rid of the data in librpc/gen_ndr/*.o
(This used to be commit 866ef2edab91996964c8b43dbdd417f5908a00e1)
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
google/llvm-propeller,6667bdbacad033f7090304fb559889a1ba08eab1,Update to use the new MathExtras.h support for log2 computation. Patch contributed by Jim Laskey!,"Update to use the new MathExtras.h support for log2 computation.
Patch contributed by Jim Laskey!

llvm-svn: 22594
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
CZ-NIC/turris-os,5ad3b75ccea20e2c785f8c9b3d1edc61f5f63132,add soekris support for ImageBuilder,"add soekris support for ImageBuilder


git-svn-id: b58b266a697b410d7896548b64a74808ed28ce2b@1663 3c298f89-4303-0410-b956-a3cf2f4a3e73
",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
jollaman999/openwrt,b124b6c2c47ac7d4b106fc51270900cc6eeff11a,fix building when host and target systems are same arch,"fix building when host and target systems are same arch

SVN-Revision: 1730
",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,random_batch_1
Taeung/tip,a0d3bea3cf6c7c1b53a46432bd490b5dc784ca42,[NET]: Make skb->protocol __be16,"[NET]: Make skb->protocol __be16

There are many instances of

	skb->protocol = htons(ETH_P_*);
	skb->protocol = __constant_htons(ETH_P_*);
and
	skb->protocol = *_type_trans(...);

Most of *_type_trans() are already endian-annotated, so, let's shift
attention on other warnings.

Signed-off-by: Alexey Dobriyan <b99bff5923d24d2fb8e844db9dac7cd59203da1d@gmail.com>
Signed-off-by: David S. Miller <fe08d3c717adf2ae63592e4c9aec6e3e404d8e3e@davemloft.net>
",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,random_batch_1
